Host,Mount_message,record_dt,mount,space_gb,alerted
AWX.ME.COM,Space on /var 10G ,6/19/2023 4:00,/var,10,0
AWX-DEV.ME.COM,Space on /var 6.9G ,6/19/2023 4:00,/var,6.9,0
AWX.ME.COM,Space on /app 472G ,6/19/2023 4:00,/app,472,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/19/2023 0:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/19/2023 0:00,/opt,17,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/19/2023 0:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/19/2023 0:00,/var,13,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/19/2023 0:00,/opt,20,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/19/2023 0:00,/app,54,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/19/2023 0:00,/opt,14,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/19/2023 0:00,/app,461,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/19/2023 0:00,/var,13,0
AWX-DEV.ME.COM,Space on /app 450G ,6/19/2023 0:00,/app,450,0
AWX.ME.COM,Space on /opt 20G ,6/19/2023 0:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /app 42G ,6/19/2023 0:00,/app,42,0
AWX-DEV.ME.COM,Space on /var 7.0G ,6/19/2023 0:00,/var,7,0
AWX.ME.COM,Space on /var 10G ,6/19/2023 0:00,/var,10,0
AWX.ME.COM,Space on /app 472G ,6/19/2023 0:00,/app,472,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/18/2023 20:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/18/2023 20:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/18/2023 20:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/18/2023 20:00,/var,13,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/18/2023 20:00,/opt,14,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/18/2023 20:00,/app,461,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/18/2023 20:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/18/2023 20:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/18/2023 20:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/18/2023 20:00,/var,13,0
AWX.ME.COM,Space on /opt 20G ,6/18/2023 20:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /app 42G ,6/18/2023 20:00,/app,42,0
AWX-DEV.ME.COM,Space on /var 7.0G ,6/18/2023 20:00,/var,7,0
AWX.ME.COM,Space on /var 10G ,6/18/2023 20:00,/var,10,0
AWX.ME.COM,Space on /app 472G ,6/18/2023 20:00,/app,472,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/18/2023 16:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/18/2023 16:00,/opt,15,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/18/2023 16:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/18/2023 16:00,/var,9.1,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/18/2023 16:00,/opt,14,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/18/2023 16:00,/app,462,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/18/2023 16:00,/app,54,0
AWX.ME.COM,Space on /opt 20G ,6/18/2023 16:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/18/2023 16:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/18/2023 16:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/18/2023 16:00,/var,13,0
AWX-DEV.ME.COM,Space on /var 6.9G ,6/18/2023 16:00,/var,6.9,0
AWX.ME.COM,Space on /var 10G ,6/18/2023 16:00,/var,10,0
AWX-DEV-V2.ME.COM,Space on /app 42G ,6/18/2023 16:00,/app,42,0
AWX.ME.COM,Space on /app 472G ,6/18/2023 16:00,/app,472,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/18/2023 12:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/18/2023 12:00,/opt,15,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/18/2023 12:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/18/2023 12:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/18/2023 12:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/18/2023 12:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/18/2023 12:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/18/2023 12:00,/app,462,0
AWX-DEV.ME.COM,Space on /app 450G ,6/18/2023 12:00,/app,450,0
AWX.ME.COM,Space on /opt 20G ,6/18/2023 12:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/18/2023 12:00,/var,13,0
AWX.ME.COM,Space on /var 10G ,6/18/2023 12:00,/var,10,0
AWX-DEV-V2.ME.COM,Space on /app 43G ,6/18/2023 12:00,/app,43,0
AWX-DEV.ME.COM,Space on /var 6.9G ,6/18/2023 12:00,/var,6.9,0
AWX.ME.COM,Space on /app 473G ,6/18/2023 12:00,/app,473,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/18/2023 8:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/18/2023 8:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/18/2023 8:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/18/2023 8:00,/var,13,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/18/2023 8:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/18/2023 8:00,/app,54,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/18/2023 8:00,/app,461,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/18/2023 8:00,/opt,20,0
AWX.ME.COM,Space on /opt 20G ,6/18/2023 8:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/18/2023 8:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/18/2023 8:00,/var,13,0
AWX.ME.COM,Space on /var 10G ,6/18/2023 8:00,/var,10,0
AWX-DEV-V2.ME.COM,Space on /app 43G ,6/18/2023 8:00,/app,43,0
AWX-DEV.ME.COM,Space on /var 6.9G ,6/18/2023 8:00,/var,6.9,0
AWX.ME.COM,Space on /app 473G ,6/18/2023 8:00,/app,473,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/18/2023 7:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/18/2023 7:00,/opt,15,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/18/2023 7:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/18/2023 7:00,/var,9.1,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/18/2023 7:00,/opt,14,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/18/2023 7:00,/opt,20,0
AWX.ME.COM,Space on /opt 20G ,6/18/2023 7:00,/opt,20,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/18/2023 7:00,/app,54,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/18/2023 7:00,/app,462,0
AWX-DEV.ME.COM,Space on /app 450G ,6/18/2023 7:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/18/2023 7:00,/var,13,0
AWX.ME.COM,Space on /var 9.7G ,6/18/2023 7:00,/var,9.7,0
AWX-DEV-V2.ME.COM,Space on /app 43G ,6/18/2023 7:00,/app,43,0
AWX-DEV.ME.COM,Space on /var 6.7G ,6/18/2023 7:00,/var,6.7,0
AWX.ME.COM,Space on /app 425G ,6/18/2023 7:00,/app,425,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/18/2023 4:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/18/2023 4:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/18/2023 4:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/18/2023 4:00,/var,13,0
